geo_name,year,perc_births_attended
Guatemala,1984,35
Morocco,1984,24
El Salvador,1985,85.4
Belarus,1986,100
Colombia,1986,71
Costa Rica,1986,97
Dominican Rep.,1986,89.7
Germany,1986,100
Kuwait,1986,96
Liberia,1986,58.1
Luxembourg,1986,100
Peru,1986,49.2999992371
Poland,1986,99
Senegal,1986,41.4
Belgium,1987,100
Burundi,1987,19.1
Canada,1987,100
Denmark,1987,100
Ecuador,1987,61.3
Guatemala,1987,29.2
Honduras,1987,42.1
Indonesia,1987,36.3
Israel,1987,99
Mali,1987,31.9
Mexico,1987,69.4
Morocco,1987,26
Oman,1987,87
Sri Lanka,1987,87.0999984741
Sweden,1987,100
Thailand,1987,69
Trinidad and Tobago,1987,97.9
Botswana,1988,77.5
Egypt,1988,34.6
El Salvador,1988,90
Ghana,1988,40.2
Norway,1988,100
Togo,1988,31.2999992371
Tunisia,1988,69
Zimbabwe,1988,69.6
Albania,1989,92.7
Armenia,1989,99.7
Azerbaijan,1989,97.3
Belarus,1989,99.9
Bolivia,1989,42.6
Bosnia and Herzegovina,1989,96.6
Bulgaria,1989,99.3
Croatia,1989,99.7
Czech Rep.,1989,100
Estonia,1989,99
Georgia,1989,94.6
Haiti,1989,23
Hungary,1989,99.4
Iraq,1989,54
Jamaica,1989,92
Kazakhstan,1989,99
Kenya,1989,50
Kyrgyzstan,1989,98.8
Latvia,1989,100
Lithuania,1989,100
"Macedonia, FYR",1989,87.8
Moldova,1989,100
Poland,1989,99.6
Portugal,1989,98
Romania,1989,99.9
Russia,1989,99.2
Slovak Republic,1989,100
Slovenia,1989,99.6
Tajikistan,1989,93.6
Uganda,1989,38.3
Ukraine,1989,99.9
United States,1989,99
Albania,1990,93
Armenia,1990,99.7
Azerbaijan,1990,97.3
Bahamas,1990,99
Belarus,1990,99.9
Bosnia and Herzegovina,1990,97
Bulgaria,1990,99.1
China,1990,94
Colombia,1990,93.7
Croatia,1990,99.8
Czech Rep.,1990,100
Gambia,1990,44.1
Georgia,1990,96.6
Hungary,1990,99.4
Indonesia,1990,40.7
Japan,1990,100
Jordan,1990,87.2
Kazakhstan,1990,99
Kyrgyzstan,1990,98.9
Latvia,1990,100
Lithuania,1990,100
"Macedonia, FYR",1990,88.9
Malaysia,1990,92.8
Mauritius,1990,91.1
Mexico,1990,83.8
Moldova,1990,100
Nigeria,1990,30.8
Palau,1990,99
Paraguay,1990,66
Poland,1990,99.6
Romania,1990,99.8
Russia,1990,99.2
Samoa,1990,76
Slovak Republic,1990,100
Slovenia,1990,99.6
Sudan,1990,69.4
Tuvalu,1990,100
Ukraine,1990,99.9
Albania,1991,92.6
Armenia,1991,99.7
Australia,1991,100
Azerbaijan,1991,97.2
Belarus,1991,99.9
Belize,1991,76.9
Bosnia and Herzegovina,1991,97.4
Brazil,1991,69.5
Bulgaria,1991,99.5
Cameroon,1991,63.9
China,1991,93.7
Croatia,1991,99.8
Czech Rep.,1991,100
Dominican Rep.,1991,92.4
Egypt,1991,36.5
Georgia,1991,91.3
Hungary,1991,99.4
Indonesia,1991,31.7
Kazakhstan,1991,98.1
Kyrgyzstan,1991,98.9
Latvia,1991,100
Lithuania,1991,100
"Macedonia, FYR",1991,89.3
Mauritania,1991,40
Mauritius,1991,94.4
Moldova,1991,100
Myanmar,1991,46.3
Nepal,1991,7.4
Pakistan,1991,18.8
Poland,1991,99.6
Romania,1991,99.9
Russia,1991,99.2
Slovak Republic,1991,100
Slovenia,1991,99.6
Tajikistan,1991,90.3
Tonga,1991,92
Ukraine,1991,99.9
Albania,1992,86.4
Algeria,1992,77
Argentina,1992,95.8
Armenia,1992,98.3
Azerbaijan,1992,96.5
Belarus,1992,99.9
Bulgaria,1992,99.8
China,1992,84.1
Costa Rica,1992,98
Croatia,1992,99.8
Czech Rep.,1992,100
Egypt,1992,40.7
Estonia,1992,99
Georgia,1992,91.1
Guinea,1992,30.5
Honduras,1992,46.9
Hungary,1992,99.5
Kazakhstan,1992,98.9
Kyrgyzstan,1992,98.7
Latvia,1992,100
Lithuania,1992,100
"Macedonia, FYR",1992,90.9
Madagascar,1992,57
Malawi,1992,54.8
Mauritius,1992,96.1
Moldova,1992,100
Morocco,1992,31
Namibia,1992,68.2
Niger,1992,14.9
Panama,1992,85.8
Peru,1992,52.5
Poland,1992,99.6
Romania,1992,99.7
Russia,1992,99.1
Rwanda,1992,25.8
Slovak Republic,1992,100
Slovenia,1992,99.5
Tanzania,1992,43.9
Ukraine,1992,99.9
"Yemen, Rep.",1992,15.9
Zambia,1992,50.5
Albania,1993,87.2
Armenia,1993,95.5
Austria,1993,100
Azerbaijan,1993,96.3
Belarus,1993,99.9
Bulgaria,1993,99
Burkina Faso,1993,41.5
Chile,1993,99.4
China,1993,83.6
Croatia,1993,99.8
Cuba,1993,99.8
Czech Rep.,1993,100
El Salvador,1993,87.4
Estonia,1993,99.1
Finland,1993,100
France,1993,99
Georgia,1993,90.8
Ghana,1993,43.8
Hungary,1993,99.4
India,1993,34.2
Kazakhstan,1993,98.6
Kenya,1993,45.4
Kyrgyzstan,1993,98.3
Latvia,1993,100
Lesotho,1993,60.9
Lithuania,1993,100
"Macedonia, FYR",1993,93.3
Malta,1993,98
Mauritius,1993,96.2
Moldova,1993,100
Nicaragua,1993,61
Panama,1993,86.9
Philippines,1993,52.8
Poland,1993,99.6
Romania,1993,98.9
Russia,1993,99.1
Senegal,1993,47.2
Slovak Republic,1993,100
Slovenia,1993,99.7
Sri Lanka,1993,94.1
Syria,1993,76.9
Turkey,1993,75.9
Ukraine,1993,99.9
Albania,1994,89.1
Armenia,1994,93.3
Azerbaijan,1994,99.6
Bangladesh,1994,9.5
Belarus,1994,99.9
Bhutan,1994,14.9
Bolivia,1994,47.2
Brunei,1994,98
Bulgaria,1994,99
Chile,1994,99.5
Cote d'Ivoire,1994,45.4
Croatia,1994,99.8
Czech Rep.,1994,100
Ecuador,1994,98.7
Equatorial Guinea,1994,5
Estonia,1994,99.3
Hungary,1994,99.4
Indonesia,1994,36.5
Kazakhstan,1994,98.3
Kiribati,1994,72
Kyrgyzstan,1994,98.2
Latvia,1994,100
Lithuania,1994,100
"Macedonia, FYR",1994,93.4
Maldives,1994,90
Mauritius,1994,97
Moldova,1994,100
New Zealand,1994,95
Panama,1994,88
Poland,1994,99.6
Romania,1994,99
Russia,1994,99.1
Slovak Republic,1994,100
Slovenia,1994,99.7
Solomon Islands,1994,85
Swaziland,1994,56
Tajikistan,1994,82.6
Ukraine,1994,99.9
Vanuatu,1994,87
Zimbabwe,1994,69.2
Albania,1995,89.1
Antigua and Barbuda,1995,100
Armenia,1995,93.1
Azerbaijan,1995,99.7
Bahamas,1995,99
Bahrain,1995,97.6
Barbados,1995,100
Belarus,1995,99.9
Belize,1995,79
Bulgaria,1995,98.9
Canada,1995,98
Cape Verde,1995,54
Central African Republic,1995,45.9
Chile,1995,99.5
China,1995,89.3
Colombia,1995,84.6
Croatia,1995,99.9
Czech Rep.,1995,100
Dominica,1995,100
Egypt,1995,46.3
Eritrea,1995,20.6
Estonia,1995,99.5
Grenada,1995,100
Guatemala,1995,34.8
Guinea-Bissau,1995,25
Guyana,1995,93
Haiti,1995,20.6
Hungary,1995,99.4
Indonesia,1995,49.7
Kazakhstan,1995,99.6
Kyrgyzstan,1995,98
Latvia,1995,100
Libya,1995,94.4
Lithuania,1995,100
"Macedonia, FYR",1995,94.1
Malaysia,1995,96.1
Moldova,1995,100
Morocco,1995,39.6
New Zealand,1995,100
Oman,1995,91.1
Panama,1995,88.3
Papua New Guinea,1995,42
Poland,1995,99.6
Romania,1995,99.1
Russia,1995,99.1
Saint Kitts and Nevis,1995,100
Saint Lucia,1995,100
Saint Vincent and the Grenadines,1995,100
Slovak Republic,1995,100
Slovenia,1995,99.7
South Africa,1995,82
Suriname,1995,80
Tajikistan,1995,80.9
Trinidad and Tobago,1995,99
Tunisia,1995,80.5
Uganda,1995,37.8
Ukraine,1995,99.9
United Arab Emirates,1995,99.2
Vanuatu,1995,89.1
Albania,1996,91.2
Angola,1996,22.5
Antigua and Barbuda,1996,100
Armenia,1996,95.7
Azerbaijan,1996,99.7
Belarus,1996,99.9
Benin,1996,59.8
Bosnia and Herzegovina,1996,98.9
Botswana,1996,87
Brazil,1996,87.6
Bulgaria,1996,99.9
Chile,1996,99.6
China,1996,93.1
Comoros,1996,51.6
Croatia,1996,99.8
Czech Rep.,1996,100
Dominican Rep.,1996,95.5
Estonia,1996,99.6
Honduras,1996,54.9
Hungary,1996,99.5
Jamaica,1996,90
Japan,1996,100
Kazakhstan,1996,98.1
Kuwait,1996,98.1
Kyrgyzstan,1996,98.1
Latvia,1996,100
Lebanon,1996,98
Lithuania,1996,100
"Macedonia, FYR",1996,95
Mali,1996,40
Moldova,1996,100
Nepal,1996,9
Panama,1996,89.9
Papua New Guinea,1996,53.2
Paraguay,1996,60.8
Peru,1996,56.4
Poland,1996,99.7
Qatar,1996,98.2
Romania,1996,99
Russia,1996,99.1
Saudi Arabia,1996,91.4
Slovak Republic,1996,100
Slovenia,1996,99.8
Tajikistan,1996,79
Tanzania,1996,38.2
Turkmenistan,1996,95.8
Ukraine,1996,99.9
Uzbekistan,1996,97.5
West Bank and Gaza,1996,94.9
Zambia,1996,46.5
Albania,1997,98.8
Argentina,1997,97.2
Armenia,1997,96.4
Azerbaijan,1997,99.8
Bahamas,1997,99
Bangladesh,1997,8
Belarus,1997,99.9
Bosnia and Herzegovina,1997,99.1
Bulgaria,1997,99.9
Chad,1997,15
Chile,1997,99.6
China,1997,93.8
Croatia,1997,99.9
Czech Rep.,1997,100
Egypt,1997,56.4
Estonia,1997,99.5
Guyana,1997,95
Hungary,1997,99.5
Indonesia,1997,43.2
Iran,1997,86.1
Jamaica,1997,94.6
Jordan,1997,96.7
Kazakhstan,1997,97.6
"Korea, Rep.",1997,100
Kyrgyzstan,1997,98.1
Latvia,1997,100
Lithuania,1997,100
"Macedonia, FYR",1997,95.6
Madagascar,1997,47.3
Mexico,1997,85.7
Moldova,1997,100
Mozambique,1997,44.2
Myanmar,1997,56.4
Pakistan,1997,18
Panama,1997,89.5
Poland,1997,99.7
Romania,1997,98.3
Russia,1997,99.1
Saint Lucia,1997,99.7
Senegal,1997,46.6
Slovak Republic,1997,100
Slovenia,1997,99.7
Tajikistan,1997,72.6
Timor-Leste,1997,25.8
Trinidad and Tobago,1997,99
Tuvalu,1997,99
Ukraine,1997,99.9
United States,1997,99
Uruguay,1997,99.6
Venezuela,1997,95.3
Vietnam,1997,77.1
"Yemen, Rep.",1997,21.6
Albania,1998,99.1
Antigua and Barbuda,1998,100
Argentina,1998,97.5
Armenia,1998,97.4
Azerbaijan,1998,99.8
Bahamas,1998,99
Belarus,1998,99.9
Belize,1998,79
Bolivia,1998,59.3
Bosnia and Herzegovina,1998,99.5
Bulgaria,1998,99.9
Cambodia,1998,34
Cameroon,1998,58.2
Cape Verde,1998,88.5
Chile,1998,99.7
Costa Rica,1998,98
Croatia,1998,99.8
Czech Rep.,1998,99.9
Dominica,1998,95
Egypt,1998,55.2
El Salvador,1998,90.4
Estonia,1998,99.6
Fiji,1998,100
Georgia,1998,96
Ghana,1998,44.3
Grenada,1998,99
Guyana,1998,94
Hungary,1998,99.5
Indonesia,1998,56
Kazakhstan,1998,98
Kenya,1998,44.3
Kiribati,1998,84.98
Kyrgyzstan,1998,98.5
Latvia,1998,100
Lithuania,1998,100
"Macedonia, FYR",1998,96.6
Malaysia,1998,96.2
Marshall Islands,1998,94.9
Mauritius,1998,98.6
Moldova,1998,98
Mongolia,1998,93.6
Netherlands,1998,100
Nicaragua,1998,64.6
Niger,1998,17.6
Palau,1998,100
Panama,1998,90
Paraguay,1998,60.8
Philippines,1998,56.4
Poland,1998,99.7
Portugal,1998,99.7
Qatar,1998,99
Romania,1998,99
Russia,1998,99.1
Saint Kitts and Nevis,1998,99.4
Saint Vincent and the Grenadines,1998,98
Samoa,1998,100
Singapore,1998,100
Slovak Republic,1998,100
Slovenia,1998,99.8
South Africa,1998,84.4
Tajikistan,1998,74.1
Togo,1998,50.5
Turkey,1998,80.6
Turks and Caicos Islands,1998,100
Ukraine,1998,99.9
United Kingdom,1998,99
Albania,1999,99
Argentina,1999,97.5
Armenia,1999,97.3
Australia,1999,100
Azerbaijan,1999,99.7
Bahamas,1999,99
Barbados,1999,91
Belarus,1999,99.9
Belgium,1999,99.3
Belize,1999,83.8
Bosnia and Herzegovina,1999,99.7
Brunei,1999,99
Bulgaria,1999,99
Burkina Faso,1999,30.9
China,1999,96.8
Costa Rica,1999,98.2
Cote d'Ivoire,1999,47.1
Croatia,1999,99.9
Cuba,1999,99.9
Czech Rep.,1999,99.9
Dominica,1999,99.9
Dominican Rep.,1999,96
Ecuador,1999,99.1
Estonia,1999,99.6
Georgia,1999,96.9
Grenada,1999,99
Guatemala,1999,40.6
Guinea,1999,34.8
Hungary,1999,99.5
India,1999,42.3
Kazakhstan,1999,99.1
Kyrgyzstan,1999,98.5
Latvia,1999,100
Libya,1999,99
Lithuania,1999,100
"Macedonia, FYR",1999,97
Mauritius,1999,98.5
"Micronesia, Fed. Sts.",1999,92.8
Moldova,1999,98
Nigeria,1999,41.6
Pakistan,1999,18
Philippines,1999,46.1
Poland,1999,99.7
Romania,1999,99
Russia,1999,99.1
Saint Vincent and the Grenadines,1999,99.3
Senegal,1999,48.3
Slovak Republic,1999,100
Slovenia,1999,99.8
Solomon Islands,1999,85
Somalia,1999,34.2
Tajikistan,1999,66.6
Tanzania,1999,35.8
Trinidad and Tobago,1999,99.1
Turks and Caicos Islands,1999,88.2
Ukraine,1999,99.9
Uruguay,1999,99.6
Vanuatu,1999,88
Zambia,1999,47.1
Zimbabwe,1999,72.5
Afghanistan,2e3,12.4
Albania,2e3,99.1
Algeria,2e3,92.6
Antigua and Barbuda,2e3,99.9
Armenia,2e3,96.8
Azerbaijan,2e3,84.1
Bahamas,2e3,99
Bangladesh,2e3,12.1
Barbados,2e3,98
Belarus,2e3,99.9
Belize,2e3,100
Bhutan,2e3,23.66
Bolivia,2e3,68.8
Bosnia and Herzegovina,2e3,99.6
Botswana,2e3,94.2
Bulgaria,2e3,99.8
Burundi,2e3,25.2
Cambodia,2e3,31.8
Cameroon,2e3,60
Central African Republic,2e3,44.1
Chad,2e3,16.3
China,2e3,96.6
Colombia,2e3,86.4
Comoros,2e3,61.8
Cote d'Ivoire,2e3,62.8
Croatia,2e3,99.9
Czech Rep.,2e3,99.9
Dominica,2e3,100
Dominican Rep.,2e3,97.6
Egypt,2e3,60.9
Equatorial Guinea,2e3,64.6
Estonia,2e3,99.7
Ethiopia,2e3,5.6
Fiji,2e3,99
French Polynesia,2e3,99
Gabon,2e3,85.5
Gambia,2e3,54.7
Georgia,2e3,95.7
Grenada,2e3,100
Guinea-Bissau,2e3,34.7
Guyana,2e3,85.6
Haiti,2e3,23.8
Hungary,2e3,99.5
India,2e3,42.5
Indonesia,2e3,66.9
Iran,2e3,89.6
Iraq,2e3,72.1
Jamaica,2e3,95.9
Kazakhstan,2e3,98.3
"Korea, Dem. Rep.",2e3,96.7
Kyrgyzstan,2e3,98.6
Latvia,2e3,100
Lesotho,2e3,59.8
Liberia,2e3,50.9
Lithuania,2e3,100
"Macedonia, FYR",2e3,97.7
Madagascar,2e3,46.2
Malawi,2e3,55.6
Malaysia,2e3,96.6
Moldova,2e3,98
Mongolia,2e3,96.6
Montenegro,2e3,99.1
Namibia,2e3,75.5
Nepal,2e3,11.9
Niger,2e3,15.7
Northern Mariana Islands,2e3,99.6
Oman,2e3,94.7
Papua New Guinea,2e3,41
Peru,2e3,59.3
Philippines,2e3,58
Poland,2e3,99.8
Portugal,2e3,99.7
Romania,2e3,99
Russia,2e3,99.2
Rwanda,2e3,31.3
Saint Kitts and Nevis,2e3,99.4
Saint Lucia,2e3,100
